store,product,quantity,price,category,information,Store,Product,Quantity,Price,Category,Information,store 
kfc,chicken wings,3 pieces,200.0,food,best chicken downtown,,,,,,,
kfc,chicken nuggets,9 piecs,230.0,food,best chicken downtown,,,,,,,
kfc,chicken bucket large,7 pieces,399.0,food,best chicken downtown,,,,,,,
kfc,chicken bucket medium,4 pieces,299.0,food,best chicken downtown,,,,,,,
kfc,french fries,1 bag,180.0,food,best chicken downtown,,,,,,,
kfc,"Beverages (coke,pepsi,7up,mountain dew,miranda)",1 cup,50.0,drinks,best chicken downtown,,,,,,,
Nike,Running Shoes,10.0,20.0,Fashion,Best Seller,
Nike,Sneakers,20.0,50.0,Sports,Limited Edition,
Nike,Football Boots,30.0,100.0,Food,New Arrival,
Nike,Training Shoes,40.0,150.0,Accessories,Discounted,
Nike,Sportswear,50.0,200.0,Gadgets,Exclusive,
Nike,Athletic Apparel,60.0,250.0,Entertainment,Popular,
Puma,Track Pants,10.0,20.0,Fashion,Best Seller,
Puma,Running Shoes,20.0,50.0,Sports,Limited Edition,
Puma,Puma T-shirt,30.0,100.0,Food,New Arrival,
Puma,Sneakers,40.0,150.0,Accessories,Discounted,
Puma,Sports Cap,50.0,200.0,Gadgets,Exclusive,
Puma,Training Shoes,60.0,250.0,Entertainment,Popular,
Skechers,Walking Shoes,10.0,20.0,Fashion,Best Seller,
Skechers,Sneakers,20.0,50.0,Sports,Limited Edition,
Skechers,Comfort Shoes,30.0,100.0,Food,New Arrival,
Skechers,Sports Sandals,40.0,150.0,Accessories,Discounted,
Skechers,Memory Foam Shoes,50.0,200.0,Gadgets,Exclusive,
qSkechers,Running Shoes,60.0,250.0,Entertainment,Popular,
Reebok,Crossfit Shoes,10.0,20.0,Fashion,Best Seller,
Reebok,Gym Bag,20.0,50.0,Sports,Limited Edition,
Reebok,Fitness Shoes,30.0,100.0,Food,New Arrival,
Reebok,Training Shoes,40.0,150.0,Accessories,Discounted,
Reebok,Sports Bottle,50.0,200.0,Gadgets,Exclusive,
Reebok,Sneakers,60.0,250.0,Entertainment,Popular,
Burger King,Whopper,10.0,20.0,Fashion,Best Seller,
Burger King,Chicken Fries,20.0,50.0,Sports,Limited Edition,
Burger King,Veggie Burger,30.0,100.0,Food,New Arrival,
Burger King,Coke,40.0,150.0,Accessories,Discounted,
Burger King,Fries,50.0,200.0,Gadgets,Exclusive,
Burger King,Chicken Sandwich,60.0,250.0,Entertainment,Popular,
McDonald's,Big Mac,10.0,20.0,Fashion,Best Seller,
McDonald's,McChicken,20.0,50.0,Sports,Limited Edition,
McDonald's,Filet-O-Fish,30.0,100.0,Food,New Arrival,
McDonald's,French Fries,40.0,150.0,Accessories,Discounted,
McDonald's,Happy Meal,50.0,200.0,Gadgets,Exclusive,
McDonald's,Coke,60.0,250.0,Entertainment,Popular,
Cafe Coffee Day,Espresso,10.0,20.0,Fashion,Best Seller,
Cafe Coffee Day,Cappuccino,20.0,50.0,Sports,Limited Edition,
Cafe Coffee Day,Latte,30.0,100.0,Food,New Arrival,
Cafe Coffee Day,Black Coffee,40.0,150.0,Accessories,Discounted,
Cafe Coffee Day,Iced Coffee,50.0,200.0,Gadgets,Exclusive,
Cafe Coffee Day,Mocha,60.0,250.0,Entertainment,Popular,
Perfume Shop,Floral Perfume,10.0,20.0,Fashion,Best Seller,
Perfume Shop,Citrus Perfume,20.0,50.0,Sports,Limited Edition,
Perfume Shop,Woody Perfume,30.0,100.0,Food,New Arrival,
Perfume Shop,Luxury Cologne,40.0,150.0,Accessories,Discounted,
Perfume Shop,Unisex Perfume,50.0,200.0,Gadgets,Exclusive,
Perfume Shop,Eau de Toilette,60.0,250.0,Entertainment,Popular,
Maintenance Area,Cleaning Supplies,10.0,20.0,Fashion,Best Seller,
Maintenance Area,Spare Parts,20.0,50.0,Sports,Limited Edition,
Maintenance Area,Maintenance Tools,30.0,100.0,Food,New Arrival,
Maintenance Area,Safety Equipment,40.0,150.0,Accessories,Discounted,
Maintenance Area,Wires & Cables,50.0,200.0,Gadgets,Exclusive,
Maintenance Area,Electrical Tools,60.0,250.0,Entertainment,Popular,
Plam,Sunglasses,10.0,20.0,Fashion,Best Seller,
Plam,Wallet,20.0,50.0,Sports,Limited Edition,
Plam,Belts,30.0,100.0,Food,New Arrival,
Plam,Handbag,40.0,150.0,Accessories,Discounted,
puma,running shoes,20,1099.0,sports&fitness,very comfortable best for running,,,,,,,
puma,cricket shoes,12,999.0,sports&fitness,very comfortable best for running,,,,,,,
puma,football,34,899.0,sports&fitness,fifa match ball,,,,,,,
puma,football boots,12,1099.0,sports&fitness,very comfortable best for running,,,,,,,
puma,slides,20,768.0,sports&fitness,very comfortable best for walking,,,,,,,
puma,t-shirt,45,499.0,sports&fitness,comfy wear,,,,,,,
,cold coffee,1 cup,199.0,drinks,best drink spot,,,,,,,starbucks
,ice tea,1 cup,168.0,drinks,best drink spot,,,,,,,starbucks
,bubble tea,1 cup,200.0,drinks,best drink spot,,,,,,,starbucks
,macha latte,1 cup,210.0,drinks,best drink spot,,,,,,,starbucks
,milkshake,1 cup,205.0,drinks,best drink spot,,,,,,,starbucks
